CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment
12346.0,1/18/2011 10:17,2,0.0,326,1,2,1,121,Lost Customers
12347.0,8/2/2011 8:48,7,4310.0,130,3,4,5,345,Others
12348.0,9/25/2011 13:13,4,1797.24,75,4,3,4,434,Others
12349.0,11/21/2011 9:51,1,1757.55,19,5,1,4,514,Others
12350.0,2/2/2011 16:01,1,334.4,310,1,1,2,112,Lost Customers
12352.0,9/28/2011 14:58,11,1545.41,72,5,5,4,554,Loyalists
12353.0,5/19/2011 17:47,1,89.0,204,2,1,1,211,Others
12354.0,4/21/2011 13:11,1,1079.4,232,1,1,4,114,Lost Customers
12355.0,5/9/2011 13:49,1,459.4,214,2,1,2,212,Others
12356.0,4/8/2011 12:33,3,2811.43,245,1,3,5,135,Lost Customers
12357.0,11/6/2011 16:07,1,6207.67,33,5,1,5,515,Others
12358.0,7/12/2011 10:04,2,1168.0600000000002,151,2,2,4,224,Others
12359.0,6/3/2011 12:26,6,6245.53,189,2,4,5,245,Others
12360.0,8/19/2011 10:10,3,2662.06,113,3,3,5,335,Others
12361.0,2/25/2011 13:51,1,189.9,287,1,1,1,111,Lost Customers
12362.0,9/28/2011 12:04,13,5154.58,73,4,5,5,455,Loyalists
12363.0,8/22/2011 10:18,2,552.0,110,3,2,3,323,Others
12364.0,9/22/2011 16:07,4,1313.1,78,4,3,4,434,Others
12365.0,2/21/2011 14:04,3,320.69,291,1,3,2,132,Lost Customers
12367.0,12/5/2011 16:48,1,168.9,4,5,1,1,511,Others
12370.0,3/10/2011 12:48,4,3545.69,274,1,3,5,135,Lost Customers
12371.0,10/26/2011 10:16,2,1887.96,45,5,2,4,524,Others
12372.0,9/29/2011 12:12,3,1298.04,72,5,3,4,534,Others
12373.0,2/1/2011 13:10,1,364.6,311,1,1,2,112,Lost Customers
12374.0,11/14/2011 15:37,1,742.9300000000001,25,5,1,3,513,Others
12375.0,9/2/2011 14:23,3,455.42,98,3,3,2,332,Others
12377.0,12/20/2010 9:37,2,1628.12,355,1,2,4,124,Lost Customers
